c_id,c_name,email,gender,phone,preferred_genres
176,Kelsey Becker,q7Tf479@yahoo.com,F,+1 679-685-7236,"Animation, Mystery, Romance"
291,Stephen Tucker,Stephen8565@yahoo.com,M,+1 531-069-6582,"Adventure, Comedy, Drama"
742,Chelsea Copeland,s9VdH493@hotmail.com,F,+1 963-781-4447,"Action, Adventure, Romance"
776,Paul Dunn,s7Goq29@outlook.com,M,+1 298-579-0603,"Drama, News, Sport"
855,Sarah Chapman,Sarah92@google.com,F,+1 144-555-8515,"Animation, Crime, Drama"
869,Michelle Roberts,Michelle883@yahoo.com,F,+1 439-414-4036,"Animation, Drama, Romance"
1013,Stephen Greene,0MBhb4223@hotmail.com,M,+1 347-330-3861,"Adventure, Documentary, War"
1087,Jessica Clarke,Jessica924@yahoo.com,F,+1 335-309-1103,"Comedy, Game-Show, Horror"
1106,David Payne,David2506@google.com,M,+1 897-319-0338,"Animation, Sci-Fi, Thriller"
1319,Oscar Howard,8NNZf396@hotmail.com,M,+1 165-158-2795,"Adventure, Biography, Comedy"
